  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    2.4153    13.6932      3.4300e-04           1.3836e+03      9.2729e-03
    2.4289    13.7105      4.2800e-04           1.4021e+03      1.1542e-02
    2.4424    13.5460      8.7370e-03           3.8570e+03      2.4136e-01
    2.4560    13.2379      6.7280e-03           3.7661e+03      1.9462e-01
    2.4695    12.9247      8.0790e-03           3.6772e+03      2.4516e-01
    2.4830    12.6067      6.7670e-03           3.5909e+03      2.1584e-01
    2.4966    12.2842      6.7810e-03           3.5074e+03      2.2779e-01
    2.5101    11.9573      7.3390e-03           3.4268e+03      2.6020e-01
    2.5237    11.6262      6.9120e-03           3.3489e+03      2.5921e-01
    2.5372    11.2910      5.3980e-03           3.2736e+03      2.1463e-01
    2.5508    10.9520      5.6630e-03           3.2009e+03      2.3933e-01
    2.5643    10.6094      3.6210e-03           3.1307e+03      1.6307e-01
    2.5778    10.2631      3.5690e-03           3.0632e+03      1.7176e-01
    2.5914     9.9135      3.4870e-03           2.9989e+03      1.7986e-01
    2.6049     9.5605      2.8030e-03           2.9379e+03      1.5545e-01
    2.6185     9.2044      3.1550e-03           2.8795e+03      1.8877e-01
    2.6320     8.8452      2.0620e-03           2.8241e+03      1.3360e-01
    2.6456     8.4830      2.9210e-03           2.7711e+03      2.0576e-01
    2.6591     8.1181      2.2250e-03           2.7208e+03      1.7114e-01
    2.6726     7.7503      1.7980e-03           2.6736e+03      1.5173e-01
    2.6862     7.3800      1.6330e-03           2.6295e+03      1.5199e-01
    2.6997     7.0071      1.9430e-03           2.5893e+03      2.0060e-01
    2.7133     6.6319      1.7180e-03           2.5537e+03      1.9801e-01
    2.7268     6.2543      1.2620e-03           2.5239e+03      1.6354e-01
    2.7404     5.8746      1.4600e-03           2.5015e+03      2.1445e-01
    2.7539     5.4928      9.4200e-04           2.4887e+03      1.5827e-01
    2.7675     5.1091      1.1550e-03           2.4886e+03      2.2430e-01
    2.7810     4.7236      9.6500e-04           2.5052e+03      2.1924e-01
    2.7945     4.3365      1.1540e-03           2.5437e+03      3.1107e-01
    2.8081     3.9478      7.2000e-04           2.6112e+03      2.3418e-01
    2.8216     3.5578      6.9100e-04           2.7177e+03      2.7672e-01
    2.8352     3.1667      4.9600e-04           2.8778e+03      2.5073e-01
    2.8487     2.7745      4.2300e-04           3.1140e+03      2.7855e-01
    2.8623     2.3816      3.5700e-04           3.4625e+03      3.1905e-01
    2.8758     1.9882      2.8400e-04           3.9881e+03      3.6419e-01
    2.8893     1.5947      1.9800e-04           4.8185e+03      3.9467e-01
    2.9029     1.2015      1.4200e-04           6.2442e+03      4.9862e-01
    2.9164     0.8099      8.5000e-05           9.1014e+03      6.5688e-01
    2.9300     0.4222      0.0000e+00           0.0000e+00      0.0000e+00
    2.9435     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    2.9760     1.2161      1.9000e-05           5.6083e+03      6.5125e-02
    3.0085     2.4267      2.1000e-05           2.9457e+03      1.8077e-02
    3.0409     3.6313      2.2000e-05           2.1418e+03      8.4572e-03
    3.0734     4.8260      1.9000e-05           1.7974e+03      4.1353e-03
    3.1059     6.0073      1.6000e-05           1.6343e+03      2.2475e-03
    3.1384     7.1716      1.1000e-05           1.5622e+03      1.0842e-03
    3.1708     8.3149      1.2000e-05           1.5422e+03      8.7983e-04
    3.2033     9.4331      8.0000e-06           1.5555e+03      4.5573e-04
    3.2358    10.5215      6.0000e-06           1.5939e+03      2.7474e-04
    3.2683    11.5751      5.0000e-06           1.6536e+03      1.8917e-04
    3.3007    12.5875      5.0000e-06           1.7344e+03      1.5996e-04
    3.3332    13.5504      8.0000e-06           1.8378e+03      2.2086e-04
    3.3657    14.4506      1.3000e-05           1.9709e+03      3.1557e-04
    3.3981    15.2611      2.3000e-05           2.1671e+03      5.0059e-04
    3.4306    15.9136      9.2000e-05           2.5592e+03      1.8415e-03
    3.4631    16.3056      7.1100e-04           3.7381e+03      1.3556e-02
    3.4956    16.3730      1.5010e-03           5.3737e+03      2.8383e-02
    3.5280    16.3850      3.4600e-03           5.4557e+03      6.5330e-02
    3.5605    16.4039      3.9290e-03           5.4879e+03      7.4015e-02
    3.5930    16.4344      3.1750e-03           5.5090e+03      5.9589e-02
    3.6255    16.4774      5.1900e-03           5.5088e+03      9.6899e-02
    3.6579    16.5295      4.7340e-03           5.3808e+03      8.7829e-02
    3.6904    16.4652      1.3380e-03           4.2472e+03      2.5018e-02
    3.7229    16.0755      4.0700e-04           4.6347e+03      7.9835e-03
    3.7554    15.6592      3.9700e-04           4.8534e+03      8.2069e-03
    3.7878    15.2425      3.3200e-04           5.0501e+03      7.2436e-03
    3.8203    14.8347      2.8100e-04           5.2536e+03      6.4726e-03
    3.8528    14.4441      2.0300e-04           5.4743e+03      4.9323e-03
    3.8852    14.0796      2.2800e-04           5.7214e+03      5.8302e-03
    3.9177    13.7514      1.3700e-04           6.0008e+03      3.6725e-03
    3.9502    13.4723      1.3900e-04           6.3225e+03      3.8821e-03
    3.9827    13.2614      1.6100e-04           6.6884e+03      4.6406e-03
    4.0151    13.1451      1.8600e-04           7.0624e+03      5.4565e-03
    4.0476    13.1376      2.6200e-04           7.4441e+03      7.6948e-03
    4.0801    13.2238      2.2400e-04           7.6354e+03      6.4933e-03
    4.1126    13.3621      2.1300e-04           7.6790e+03      6.0473e-03
    4.1450    13.5238      2.9300e-04           7.6875e+03      8.1208e-03
    4.1775    13.6982      6.2600e-04           7.6900e+03      1.6911e-02
    4.2100    13.8835      3.7100e-04           7.6811e+03      9.7568e-03
    4.2424    14.0820      7.3700e-04           7.6426e+03      1.8839e-02

    0.0000    15.2960      1.4180e-03           4.4295e+03      3.0722e-02
    0.0250    15.2984      1.0366e-02           4.3582e+03      2.2452e-01
    0.0499    15.3057      7.2750e-03           4.2838e+03      1.5742e-01
    0.0749    15.3168      3.0670e-03           4.2116e+03      6.6269e-02
    0.0998    15.3301      1.9610e-03           4.1367e+03      4.2298e-02
    0.1248    15.3435      1.4190e-03           4.0657e+03      3.0554e-02
    0.1498    15.3546      8.2400e-04           4.0004e+03      1.7717e-02
    0.1747    15.3604      7.6900e-04           3.9450e+03      1.6522e-02
    0.1997    15.3581      7.5000e-04           3.8978e+03      1.6118e-02
    0.2246    15.3450      7.7400e-04           3.8636e+03      1.6662e-02
    0.2496    15.3185      8.6000e-04           3.8388e+03      1.8578e-02
    0.2746    15.2768      1.1150e-03           3.8258e+03      2.4218e-02
    0.2995    15.2194      1.0440e-03           3.8172e+03      2.2847e-02
    0.3245    15.1470      1.4870e-03           3.8084e+03      3.2854e-02
    0.3494    15.0629      1.2830e-03           3.7879e+03      2.8664e-02
    0.3744    14.9739      1.5050e-03           3.7415e+03      3.4025e-02
    0.3993    14.8925      1.3700e-03           3.6457e+03      3.1312e-02
    0.4243    14.8418      1.5090e-03           3.4728e+03      3.4725e-02
    0.4493    14.8597      1.4600e-03           3.2163e+03      3.3517e-02
    0.4742    14.9901      1.4980e-03           2.9689e+03      3.3793e-02
    0.4992    15.2434      1.0970e-03           2.8802e+03      2.3932e-02
    0.5241    15.5800      1.0350e-03           2.9599e+03      2.1614e-02
    0.5491    15.9509      8.1800e-04           3.1346e+03      1.6297e-02
    0.5741    16.3227      6.6400e-04           3.3566e+03      1.2633e-02
    0.5990    16.6753      4.9700e-04           3.6100e+03      9.0602e-03
    0.6240    16.9956      4.9700e-04           3.8918e+03      8.7219e-03
    0.6489    17.2735      2.1100e-04           4.1984e+03      3.5847e-03
    0.6739    17.5009      1.1300e-04           4.5180e+03      1.8702e-03
    0.6989    17.6729      1.0400e-04           4.8239e+03      1.6879e-03
    0.7238    17.7899      9.3000e-05           5.0811e+03      1.4896e-03
    0.7488    17.8576      1.1300e-04           5.2676e+03      1.7962e-03
    0.7737    17.8847      1.6000e-04           5.3868e+03      2.5356e-03
    0.7987    17.8795      2.5800e-04           5.4505e+03      4.0911e-03
    0.8237    17.8486      2.4700e-04           5.4731e+03      3.9302e-03
    0.8486    17.7960      3.0700e-04           5.4645e+03      4.9139e-03
    0.8736    17.7240      2.0900e-04           5.4322e+03      3.3725e-03
    0.8985    17.6640      2.5100e-04           3.6162e+03      4.0778e-03
    0.9235    17.9084      3.2500e-04           3.7613e+03      5.1369e-03
    0.9484    18.1157      4.9800e-04           3.8903e+03      7.6922e-03
    0.9734    18.2809      6.5700e-04           3.9777e+03      9.9655e-03
    0.9984    18.3994      4.7400e-04           3.9992e+03      7.0974e-03
    1.0078    18.4103      5.9400e-04           3.9940e+03      8.8837e-03
    1.0172    18.4192      5.4600e-04           3.9841e+03      8.1580e-03
    1.0266    18.4262      4.6200e-04           3.9698e+03      6.8976e-03
    1.0360    18.4316      4.5800e-04           3.9533e+03      6.8339e-03
    1.0454    18.4355      3.4900e-04           3.9313e+03      5.2053e-03
    1.0548    18.4381      4.5900e-04           3.9073e+03      6.8440e-03
    1.0643    18.4395      4.0000e-04           3.8826e+03      5.9634e-03
    1.0737    18.4399      3.3300e-04           3.8563e+03      4.9643e-03
    1.0831    18.4395      3.0400e-04           3.8295e+03      4.5322e-03
    1.0925    18.4383      4.2200e-04           3.8026e+03      6.2922e-03
    1.1019    18.4366      3.5600e-04           3.7760e+03      5.3091e-03
    1.1113    18.4344      2.5500e-04           3.7496e+03      3.8038e-03
    1.1207    18.4318      3.1100e-04           3.7247e+03      4.6404e-03
    1.1302    18.4289      3.9800e-04           3.6984e+03      5.9404e-03
    1.1396    18.4258      2.8300e-04           3.6749e+03      4.2254e-03
    1.1490    18.4226      3.6300e-04           3.6520e+03      5.4217e-03
    1.1584    18.4194      4.6200e-04           3.6309e+03      6.9027e-03
    1.1678    18.4161      3.2600e-04           3.6112e+03      4.8725e-03
    1.1772    18.4130      2.4700e-04           3.5929e+03      3.6930e-03
    1.1866    18.4099      1.3400e-04           3.5760e+03      2.0042e-03
    1.1960    18.4071      1.5100e-04           3.5615e+03      2.2591e-03
    1.2055    18.4044      1.5300e-04           3.5473e+03      2.2897e-03
    1.2149    18.4019      1.8100e-04           3.5352e+03      2.7095e-03
    1.2243    18.3997      1.5000e-04           3.5244e+03      2.2459e-03
    1.2337    18.3979      1.1000e-04           3.5160e+03      1.6474e-03
    1.2431    18.3963      1.5400e-04           3.5085e+03      2.3067e-03
    1.2525    18.3950      1.0000e-04           3.5027e+03      1.4981e-03
    1.2619    18.3941      1.0600e-04           3.4991e+03      1.5881e-03
    1.2714    18.3936      6.4000e-05           3.4966e+03      9.5891e-04
    1.2808    18.3934      5.7000e-05           3.4974e+03      8.5405e-04
    1.2878    18.3935      5.7000e-05           3.4960e+03      8.5404e-04
    1.2949    18.3938      9.7000e-05           3.4980e+03      1.4533e-03
    1.3020    18.3943      8.9000e-05           3.4997e+03      1.3334e-03
    1.3090    18.3950      1.0000e-04           3.5027e+03      1.4981e-03
    1.3161    18.3959      1.2100e-04           3.5073e+03      1.8125e-03
    1.3231    18.3970      1.5500e-04           3.5119e+03      2.3215e-03
    1.3302    18.3983      1.4400e-04           3.5177e+03      2.1564e-03
    1.3373    18.3997      1.5000e-04           3.5244e+03      2.2459e-03
    1.3443    18.4014      2.0700e-04           3.5326e+03      3.0988e-03
    1.3514    18.4031      2.0800e-04           3.5406e+03      3.1132e-03
    1.3584    18.4050      1.3700e-04           3.5514e+03      2.0501e-03
    1.3655    18.4071      1.5100e-04           3.5615e+03      2.2591e-03
    1.3726    18.4092      1.2600e-04           3.5721e+03      1.8847e-03
    1.3796    18.4114      1.6700e-04           3.5842e+03      2.4973e-03
    1.3867    18.4138      3.0100e-04           3.5974e+03      4.5000e-03
    1.3937    18.4161      3.2600e-04           3.6112e+03      4.8725e-03
    1.4008    18.4186      3.6300e-04           3.6262e+03      5.4240e-03
    1.4079    18.4210      2.7300e-04           3.6415e+03      4.0782e-03
    1.4149    18.4234      2.4400e-04           3.6576e+03      3.6440e-03
    1.4220    18.4258      2.8300e-04           3.6749e+03      4.2254e-03
    1.4290    18.4281      4.6600e-04           3.6929e+03      6.9559e-03
    1.4361    18.4303      3.8600e-04           3.7114e+03      5.7604e-03
    1.4432    18.4324      3.3000e-04           3.7308e+03      4.9236e-03
    1.4502    18.4344      2.5500e-04           3.7496e+03      3.8038e-03
    1.4573    18.4361      3.7000e-04           3.7694e+03      5.5182e-03
    1.4643    18.4375      2.9700e-04           3.7892e+03      4.4288e-03
    1.4714    18.4387      3.7300e-04           3.8091e+03      5.5613e-03
    1.4785    18.4395      3.0400e-04           3.8295e+03      4.5322e-03
    1.4855    18.4399      3.3200e-04           3.8498e+03      4.9494e-03
    1.4926    18.4398      4.0300e-04           3.8693e+03      6.0079e-03
    1.4996    18.4392      3.0300e-04           3.8887e+03      4.5174e-03
    1.5067    18.4381      4.5900e-04           3.9073e+03      6.8440e-03
    1.5138    18.4363      4.4000e-04           3.9253e+03      6.5620e-03
    1.5208    18.4337      4.5500e-04           3.9427e+03      6.7876e-03
    1.5279    18.4304      5.5900e-04           3.9578e+03      8.3420e-03
    1.5349    18.4262      4.6200e-04           3.9698e+03      6.8976e-03
    1.5420    18.4211      5.0600e-04           3.9817e+03      7.5587e-03
    1.5491    18.4150      5.4700e-04           3.9896e+03      8.1766e-03
    1.5561    18.4078      7.1700e-04           3.9957e+03      1.0726e-02
    1.5632    18.3994      4.7400e-04           3.9992e+03      7.0974e-03
    1.5841    18.2831      4.3800e-04           3.9845e+03      6.6421e-03
    1.6051    18.1258      3.8900e-04           3.9196e+03      6.0019e-03
    1.6261    17.9337      4.3300e-04           3.8281e+03      6.8246e-03
    1.6470    17.7123      2.6200e-04           3.7250e+03      4.2333e-03
    1.6680    17.7627      3.2900e-04           5.5184e+03      5.2858e-03
    1.6890    17.8467      1.0820e-03           5.5834e+03      1.7220e-02
    1.7099    17.9115      4.1600e-04           5.6272e+03      6.5729e-03
    1.7309    17.9562      3.0600e-04           5.6399e+03      4.8109e-03
    1.7519    17.9799      6.3300e-04           5.6182e+03      9.9257e-03
    1.7728    17.9292      4.0000e-04           2.6751e+03      6.3077e-03
    1.7938    17.7351      9.9500e-04           2.6330e+03      1.6036e-02
    1.8148    17.5362      7.7500e-04           2.5865e+03      1.2775e-02
    1.8357    17.3338      9.6800e-04           2.5346e+03      1.6331e-02
    1.8567    17.1291      1.2510e-03           2.4785e+03      2.1613e-02
    1.8777    16.9232      7.9600e-04           2.4185e+03      1.4089e-02
    1.8986    16.7172      6.7400e-04           2.3559e+03      1.2225e-02
    1.9196    16.5120      6.4500e-04           2.2915e+03      1.1992e-02
    1.9405    16.3086      5.9300e-04           2.2260e+03      1.1302e-02
    1.9615    16.1079      6.1800e-04           2.1601e+03      1.2074e-02
    1.9825    15.9107      4.2900e-04           2.0942e+03      8.5903e-03
    2.0034    15.7179      3.5400e-04           2.0291e+03      7.2635e-03
    2.0244    15.5302      2.4400e-04           1.9659e+03      5.1282e-03
    2.0454    15.3484      2.6200e-04           1.9044e+03      5.6377e-03
    2.0663    15.1732      2.2800e-04           1.8450e+03      5.0201e-03
    2.0873    15.0053      2.5200e-04           1.7889e+03      5.6734e-03
    2.1083    14.8452      2.7100e-04           1.7357e+03      6.2334e-03
    2.1292    14.6935      2.5000e-04           1.6863e+03      5.8698e-03
    2.1502    14.5509      2.9200e-04           1.6406e+03      6.9909e-03
    2.1712    14.4178      3.3300e-04           1.5987e+03      8.1204e-03
    2.1921    14.2947      3.3200e-04           1.5598e+03      8.2360e-03
    2.2131    14.1820      3.5300e-04           1.5249e+03      8.8967e-03
    2.2341    14.0801      3.2500e-04           1.4931e+03      8.3100e-03
    2.2550    13.9894      2.7700e-04           1.4651e+03      7.1748e-03
    2.2760    13.9101      2.9600e-04           1.4402e+03      7.7546e-03
    2.2970    13.8426      4.1800e-04           1.4192e+03      1.1058e-02
    2.3179    13.7870      3.4000e-04           1.4025e+03      9.0671e-03
    2.3389    13.7436      4.1500e-04           1.3903e+03      1.1137e-02
    2.3598    13.7125      5.2400e-04           1.3829e+03      1.4126e-02
    2.3808    13.6938      4.9100e-04           1.3782e+03      1.3273e-02
    2.4018    13.6876      3.7400e-04           1.3776e+03      1.0119e-02
    2.4153    13.6938      3.4300e-04           1.3836e+03      9.2721e-03
    2.4289    13.7116      4.2800e-04           1.4021e+03      1.1540e-02
    2.4424    13.7390      3.8500e-04           1.4314e+03      1.0339e-02
    2.4560    13.7778      3.5000e-04           1.4713e+03      9.3463e-03
    2.4695    13.8262      3.9700e-04           1.5215e+03      1.0527e-02
    2.4830    13.8829      3.3500e-04           1.5808e+03      8.8108e-03
    2.4966    13.9466      3.2500e-04           1.6479e+03      8.4699e-03
    2.5101    14.0158      3.9000e-04           1.7219e+03      1.0064e-02
    2.5237    14.0889      3.7800e-04           1.8018e+03      9.6531e-03
    2.5372    14.1646      4.3000e-04           1.8865e+03      1.0864e-02
    2.5508    14.2417      3.0400e-04           1.9751e+03      7.5977e-03
    2.5643    14.3192      4.6500e-04           2.0669e+03      1.1496e-02
    2.5778    14.3963      6.1900e-04           2.1613e+03      1.5140e-02
    2.5914    14.4720      4.6800e-04           2.2578e+03      1.1327e-02
    2.6049    14.5458      6.2500e-04           2.3561e+03      1.4974e-02
    2.6185    14.6169      3.7200e-04           2.4553e+03      8.8260e-03
    2.6320    14.6851      4.2600e-04           2.5554e+03      1.0013e-02
    2.6456    14.7498      5.4600e-04           2.6558e+03      1.2722e-02
    2.6591    14.8109      5.7300e-04           2.7564e+03      1.3241e-02
    2.6726    14.8680      5.7100e-04           2.8569e+03      1.3094e-02
    2.6862    14.9175      3.6900e-04           2.9570e+03      8.4055e-03
    2.6997    14.9627      6.5700e-04           3.0567e+03      1.4876e-02
    2.7133    15.0039      9.3700e-04           3.1556e+03      2.1099e-02
    2.7268    15.0412      1.1330e-03           3.2445e+03      2.5386e-02
    2.7404    15.0750      1.2140e-03           3.3395e+03      2.7079e-02
    2.7539    15.1055      1.4380e-03           3.4336e+03      3.1946e-02
    2.7675    15.1330      1.5290e-03           3.5266e+03      3.3844e-02
    2.7810    15.1579      1.1870e-03           3.6182e+03      2.6188e-02
    2.7945    15.1802      1.2070e-03           3.7082e+03      2.6551e-02
    2.8081    15.2003      2.1760e-03           3.7959e+03      4.7740e-02
    2.8216    15.2183      2.4830e-03           3.8810e+03      5.4347e-02
    2.8352    15.2344      2.2870e-03           3.9631e+03      4.9951e-02
    2.8487    15.2486      3.4140e-03           4.0415e+03      7.4428e-02
    2.8623    15.2610      3.1270e-03           4.1227e+03      6.8060e-02
    2.8758    15.2715      4.0450e-03           4.1896e+03      8.7920e-02
    2.8893    15.2802      6.8300e-03           4.2508e+03      1.4828e-01
    2.9029    15.2870      7.3350e-03           4.3059e+03      1.5911e-01
    2.9164    15.2919      7.9500e-03           4.3544e+03      1.7234e-01
    2.9300    15.2949      8.1110e-03           4.3958e+03      1.7576e-01
    2.9435    15.2960      1.4180e-03           4.4295e+03      3.0722e-02
    2.9760    15.3021      8.6580e-03           4.3455e+03      1.8743e-01
    3.0085    15.3204      3.1050e-03           4.2649e+03      6.7058e-02
    3.0409    15.3509      1.5650e-03           4.1886e+03      3.3665e-02
    3.0734    15.3935      5.0400e-04           4.1202e+03      1.0782e-02
    3.1059    15.4480      2.7700e-04           4.0637e+03      5.8839e-03
    3.1384    15.5143      1.2600e-04           4.0197e+03      2.6536e-03
    3.1708    15.5922      6.4000e-05           3.9844e+03      1.3344e-03
    3.2033    15.6813      3.9000e-05           3.9541e+03      8.0395e-04
    3.2358    15.7816      3.0000e-05           3.9287e+03      6.1059e-04
    3.2683    15.8930      3.4000e-05           3.9084e+03      6.8233e-04
    3.3007    16.0159      4.8000e-05           3.8950e+03      9.4857e-04
    3.3332    16.1520      7.1000e-05           3.8959e+03      1.3795e-03
    3.3657    16.3027      1.9700e-04           4.0458e+03      3.7573e-03
    3.3981    16.3787      7.2600e-04           5.2008e+03      1.3719e-02
    3.4306    16.3875      1.8060e-03           5.2784e+03      3.4090e-02
    3.4631    16.4105      1.4530e-03           4.6439e+03      2.7350e-02
    3.4956    16.5928      2.7300e-04           3.3132e+03      5.0264e-03
    3.5280    16.7763      5.1000e-04           3.3596e+03      9.1856e-03
    3.5605    16.9410      6.2600e-04           3.3814e+03      1.1057e-02
    3.5930    17.0961      8.2100e-04           3.3769e+03      1.4239e-02
    3.6255    17.2431      1.0360e-03           3.3885e+03      1.7663e-02
    3.6579    16.9139      1.4250e-03           4.8988e+03      2.5250e-02
    3.6904    16.6492      2.6340e-03           6.2166e+03      4.8168e-02
    3.7229    16.7112      1.5910e-03           6.0406e+03      2.8879e-02
    3.7554    16.8070      1.6490e-03           6.0576e+03      2.9592e-02
    3.7878    16.9160      1.4210e-03           6.1232e+03      2.5173e-02
    3.8203    17.0353      1.3140e-03           6.2036e+03      2.2952e-02
    3.8528    17.1627      1.1330e-03           6.2842e+03      1.9498e-02
    3.8852    17.2906      7.3400e-04           6.1931e+03      1.2445e-02
    3.9177    17.1111      2.3700e-04           4.9454e+03      4.1032e-03
    3.9502    16.7920      4.0500e-04           5.4487e+03      7.2808e-03
    3.9827    16.4476      6.1700e-04           5.8671e+03      1.1561e-02
    4.0151    16.0943      1.5290e-03           6.2096e+03      2.9922e-02
    4.0476    15.7445      1.8630e-03           6.5190e+03      3.8097e-02
    4.0801    15.4077      1.0490e-03           6.7975e+03      2.2399e-02
    4.1126    15.0913      1.1810e-03           7.0423e+03      2.6286e-02
    4.1450    14.8002      3.5200e-03           7.2513e+03      8.1459e-02
    4.1775    14.5361      2.8290e-03           7.4247e+03      6.7868e-02
    4.2100    14.2979      1.6060e-03           7.5575e+03      3.9823e-02
    4.2424    14.0820      7.3700e-04           7.6426e+03      1.8839e-02

    0.0000    15.2960      1.4180e-03           4.4295e+03      3.0722e-02
    0.0250    15.3010      1.0366e-02           4.3582e+03      2.2444e-01
    0.0499    15.3158      7.2750e-03           4.2838e+03      1.5721e-01
    0.0749    15.3402      3.7520e-03           4.1994e+03      8.0822e-02
    0.0998    15.3742      4.1610e-03           4.1165e+03      8.9237e-02
    0.1248    15.4174      2.3510e-03           4.0349e+03      5.0137e-02
    0.1498    15.4696      2.4250e-03           3.9547e+03      5.1367e-02
    0.1747    15.5303      1.2490e-03           3.8796e+03      2.6250e-02
    0.1997    15.5992      1.3500e-03           3.8076e+03      2.8123e-02
    0.2246    15.6757      1.0380e-03           3.7421e+03      2.1413e-02
    0.2496    15.7594      1.0310e-03           3.6802e+03      2.1043e-02
    0.2746    15.8495      1.0580e-03           3.6256e+03      2.1349e-02
    0.2995    15.9457      9.4200e-04           3.5734e+03      1.8780e-02
    0.3245    16.0473      1.1120e-03           3.5261e+03      2.1889e-02
    0.3494    16.1540      9.8500e-04           3.4823e+03      1.9134e-02
    0.3744    16.2651      1.2860e-03           3.4426e+03      2.4641e-02
    0.3993    16.3805      1.7370e-03           3.4054e+03      3.2815e-02
    0.4243    16.4995      1.5480e-03           3.3717e+03      2.8824e-02
    0.4493    16.6221      1.2790e-03           3.3395e+03      2.3465e-02
    0.4742    16.7479      1.2070e-03           3.3092e+03      2.1813e-02
    0.4992    16.8766      7.6600e-04           3.2823e+03      1.3633e-02
    0.5241    17.0080      7.0000e-04           3.2573e+03      1.2267e-02
    0.5491    17.1417      5.4800e-04           3.2346e+03      9.4537e-03
    0.5741    17.2774      3.8700e-04           3.2140e+03      6.5718e-03
    0.5990    17.4146      2.7400e-04           3.1953e+03      4.5799e-03
    0.6240    17.5530      2.7700e-04           3.1790e+03      4.5573e-03
    0.6489    17.6918      2.7500e-04           3.1644e+03      4.4537e-03
    0.6739    17.8305      1.8000e-04           3.1507e+03      2.8700e-03
    0.6989    17.9684      3.4900e-04           3.1374e+03      5.4794e-03
    0.7238    18.1049      4.6500e-04           3.1231e+03      7.1910e-03
    0.7488    18.2391      5.0600e-04           3.1056e+03      7.7103e-03
    0.7737    18.3705      4.7900e-04           3.0844e+03      7.1949e-03
    0.7987    18.4982      5.8700e-04           3.0567e+03      8.6958e-03
    0.8237    18.6216      4.6000e-04           3.0205e+03      6.7244e-03
    0.8486    18.7400      5.8100e-04           2.9747e+03      8.3862e-03
    0.8736    18.8528      3.5000e-04           2.9189e+03      4.9917e-03
    0.8985    18.9593      2.1100e-04           2.8544e+03      2.9756e-03
    0.9235    19.0590      1.5800e-04           2.7887e+03      2.2049e-03
    0.9484    19.1521      1.6700e-04           2.7336e+03      2.3079e-03
    0.9734    19.2388      2.4400e-04           2.7099e+03      3.3417e-03
    0.9984    19.3201      2.0000e-04           2.7381e+03      2.7161e-03
    1.0078    19.3305      1.7400e-04           2.7484e+03      2.3604e-03
    1.0172    19.3418      1.6400e-04           2.7633e+03      2.2222e-03
    1.0266    19.3539      1.8100e-04           2.7826e+03      2.4495e-03
    1.0360    19.3666      1.6600e-04           2.8060e+03      2.2435e-03
    1.0454    19.3797      1.0500e-04           2.8304e+03      1.4172e-03
    1.0548    19.3932      1.1700e-04           2.8567e+03      1.5769e-03
    1.0643    19.4068      1.0300e-04           2.8853e+03      1.3863e-03
    1.0737    19.4204      8.5000e-05           2.9145e+03      1.1424e-03
    1.0831    19.4340      7.1000e-05           2.9444e+03      9.5294e-04
    1.0925    19.4473      9.4000e-05           2.9736e+03      1.2599e-03
    1.1019    19.4604      7.0000e-05           3.0031e+03      9.3697e-04
    1.1113    19.4730      5.6000e-05           3.0315e+03      7.4860e-04
    1.1207    19.4852      5.2000e-05           3.0591e+03      6.9426e-04
    1.1302    19.4969      5.7000e-05           3.0842e+03      7.6011e-04
    1.1396    19.5079      5.0000e-05           3.1089e+03      6.6601e-04
    1.1490    19.5184      5.3000e-05           3.1319e+03      7.0521e-04
    1.1584    19.5282      6.6000e-05           3.1541e+03      8.7730e-04
    1.1678    19.5374      4.9000e-05           3.1744e+03      6.5072e-04
    1.1772    19.5458      3.8000e-05           3.1936e+03      5.0420e-04
    1.1866    19.5535      2.5000e-05           3.2110e+03      3.3145e-04
    1.1960    19.5605      2.4000e-05           3.2273e+03      3.1797e-04
    1.2055    19.5668      2.1000e-05           3.2416e+03      2.7804e-04
    1.2149    19.5723      2.3000e-05           3.2545e+03      3.0435e-04
    1.2243    19.5771      1.5800e-04           4.6699e+03      2.0897e-03
    1.2337    19.5812      2.1600e-04           4.6810e+03      2.8557e-03
    1.2431    19.5795      2.3200e-04           4.6891e+03      3.0677e-03
    1.2525    19.5765      2.3400e-04           4.6958e+03      3.0951e-03
    1.2619    19.5743      4.3700e-04           6.1104e+03      5.7815e-03
    1.2714    19.5730      1.9600e-04           6.1147e+03      2.5934e-03
    1.2808    19.5726      2.1400e-04           6.1179e+03      2.8317e-03
    1.2878    19.5728      3.7700e-04           6.1146e+03      4.9884e-03
    1.2949    19.5736      5.9000e-04           6.1133e+03      7.8062e-03
    1.3020    19.5748      3.6600e-04           6.1088e+03      4.8419e-03
    1.3090    19.5765      2.3400e-04           4.6958e+03      3.0951e-03
    1.3161    19.5787      1.6400e-04           4.6913e+03      2.1687e-03
    1.3231    19.5813      2.0700e-04           4.6850e+03      2.7366e-03
    1.3302    19.5802      2.0500e-04           4.6785e+03      2.7105e-03
    1.3373    19.5771      1.5800e-04           4.6699e+03      2.0897e-03
    1.3443    19.5736      2.9000e-05           3.2576e+03      3.8370e-04
    1.3514    19.5697      3.2000e-05           3.2478e+03      4.2356e-04
    1.3584    19.5653      2.5000e-05           3.2387e+03      3.3105e-04
    1.3655    19.5605      2.4000e-05           3.2273e+03      3.1797e-04
    1.3726    19.5553      2.2000e-05           3.2154e+03      2.9162e-04
    1.3796    19.5497      3.3000e-05           3.2024e+03      4.3769e-04
    1.3867    19.5437      4.8000e-05           3.1890e+03      6.3703e-04
    1.3937    19.5374      4.9000e-05           3.1744e+03      6.5072e-04
